"librarian_id","name","email","password","phone"
"1","Michael Jones","gravessarah@gmail.com","Z9ZeFGwX@0","+1-277-246-7449"
"2","Jordan Carroll","nkim@hotmail.com","+6P(J#BGxH","001-792-250-0098"
"3","Mark Moore","wilsonapril@gmail.com","$8G9)$r&Gt","289-413-6783"
"4","Lisa Edwards","vwhite@gonzales.com","G7LRQlTq$@","100.836.4251"
"5","Douglas Cook","julia48@yahoo.com","YrU1WJpFT@","710-626-2423"
"6","Thomas Massey","ethan65@berger.org","t#Q5@6MkMf","888-547-6731"
"7","Adam Mueller","tammyjackson@harding.com","$9E35_)mvC","677.004.4988"
"8","John Morris","garrett73@hotmail.com","0QRVuQ@p+k","064-530-9164"
"9","Michelle Burgess","mccannbeverly@scott.org","%1EEZyvqXX","001-869-929-4889"
"10","Christopher Green","kevin20@gmail.com","R+4AJMkgGf","+1-669-566-5757"
